"port","X","Y"
"ANZIO",12.6333007810001,41.447875977
"CIVITAVECCHIA",11.7891685,42.0920560000001
"LA SPEZIA",9.83272850000014,44.1067655000001
"PORTO SANTO STEFANO",11.125305176,42.436096191
"PORTOFERRAIO",10.3239135740001,42.813720703
"CHIAVARI",9.34481796800009,44.3062986360001
"FIUMICINO",12.2207031250001,41.7708740230001
"GENOVA",8.91648942200015,44.4139497890001
"IMPERIA",8.02525599999996,43.8760870000001
"LIVORNO",10.3030760000001,43.5636405
"PIOMBINO",10.5452880860001,42.9302978520001
"PORTO ERCOLE",11.2047666829999,42.3896836450002
"PORTOFINO",9.21051025400016,44.3024902340001
"SAVONA",8.49652823600007,44.314199735
"VIAREGGIO",10.2412719730001,43.8621215820001
