"species","vlength","gear","port","mval_mean","mprice_mean","mkg_mean"
"CTC","VL2440","OTB","LA SPEZIA",0,0,1284.1856447
"CTC","VL2440","OTB","PORTO SANTO STEFANO",0,0,98.7835111307693
"CTC","VL2440","OTB","PORTOFERRAIO",0,0,1070.15470391667
"DAB","VL1218","OTB","CHIAVARI",784.693848,5.09916031302704,92.352
"DAB","VL1218","OTB","FIUMICINO",81.7389425,0.531162532606984,9.62
"DAB","VL1218","OTB","GENOVA",1307.82308,8.49860052171174,153.92
"DAB","VL1218","OTB","IMPERIA",326.95577,2.12465013042794,38.48
"DAB","VL1218","OTB","LIVORNO",871.882053333333,5.66573368114116,102.613333333333
"DAB","VL1218","OTB","PIOMBINO",1307.82308,8.49860052171174,153.92
"DAB","VL1218","OTB","PORTO ERCOLE",523.129232,3.3994402086847,61.568
"DAB","VL1218","OTB","PORTO SANTO STEFANO",100.601775384615,0.653738501670134,11.84
"DAB","VL1218","OTB","PORTOFINO",1307.82308,8.49860052171174,153.92
"DPS","VL1218","OTB","CHIAVARI",22823.3418374606,4.25831774643583,4058.8766065663
"DPS","VL1218","OTB","FIUMICINO",2377.43144140214,0.443574765253732,422.799646517323
"DPS","VL1218","OTB","GENOVA",38038.9030624343,7.09719624405971,6764.79434427717
"DPS","VL1218","OTB","IMPERIA",9509.72576560858,1.77429906101493,1691.19858606929
"DPS","VL1218","OTB","LIVORNO",25359.2687082895,4.73146416270647,4509.86289618478
"DPS","VL1218","OTB","PIOMBINO",38038.9030624343,7.09719624405971,6764.79434427717
"DPS","VL1218","OTB","PORTO ERCOLE",15215.5612249737,2.83887849762388,2705.91773771087
"DPS","VL1218","OTB","PORTO SANTO STEFANO",2926.0694663411,0.545938172619978,520.368795713629
"DPS","VL1218","OTB","PORTOFINO",38038.9030624343,7.09719624405971,6764.79434427717
"DPS","VL1824","OTB","ANZIO",135.079348111658,0.705670723547914,29370.3852040311
"DPS","VL1824","OTB","CHIAVARI",58.1880268788683,0.303981234759101,12651.8582417365
"DPS","VL1824","OTB","CIVITAVECCHIA",123.090056859144,0.643037227375022,26763.5462805963
"DPS","VL1824","OTB","FIUMICINO",136.378187997348,0.712456018966644,29652.7927540698
