"MMSI","id","gear","vlength"
"247093040","1401:111:4","OTB","VL1824"
"247122360","1401:111:4","OTB","VL1824"
"247094340","1401:111:4","OTB","VL1824"
"247094330","1401:111:4","OTB","VL1824"
"247099820","1401:111:4","OTB","VL1824"
"247099790","1401:111:4","OTB","VL2440"
"247128190","1401:111:4","OTB","VL1824"
"247094260","1401:111:4","OTB","VL2440"
"247094310","1401:111:4","OTB","VL1824"
"247099810","1401:111:4","OTB","VL1824"
"247094320","1401:111:4","OTB","VL1824"
"247091080","1401:112:1","OTB","VL1824"
"247096440","1401:112:1","OTB","VL1824"
"247092790","1401:112:1","OTB","VL1824"
"247067010","1401:112:1","OTB","VL1824"
"247092850","1401:112:1","OTB","VL1824"
"247092850","1401:112:2","OTB","VL1824"
"247092850","1401:112:3","OTB","VL1824"
"247092850","1401:112:4","OTB","VL1824"
"247096930","1401:112:1","OTB","VL1824"
"247096470","1401:112:1","OTB","VL1824"
"247096470","1401:112:2","OTB","VL1824"
"247096470","1401:112:3","OTB","VL1824"
"247096470","1401:112:4","OTB","VL1824"
"247088050","1401:112:1","OTB","VL1824"
"247093040","1401:112:1","OTB","VL1824"
"247090910","1401:112:1","OTB","VL1824"
"247250620","1401:112:1","OTB","VL1824"
"247250620","1401:112:2","OTB","VL1824"
"247250620","1401:112:3","OTB","VL1824"
"247250620","1401:112:4","OTB","VL1824"
"247092830","1401:112:1","OTB","VL1824"
"247088050","1401:112:2","OTB","VL1824"
"247088050","1401:112:3","OTB","VL1824"
"247088050","1401:112:4","OTB","VL1824"
"247090910","1401:112:2","OTB","VL1824"
"247090910","1401:112:3","OTB","VL1824"
"247090910","1401:112:4","OTB","VL1824"
"247092770","1401:112:1","OTB","VL1824"
"247091080","1401:112:2","OTB","VL1824"
"247091080","1401:112:3","OTB","VL1824"
"247091080","1401:112:4","OTB","VL1824"
"247090850","1401:112:1","OTB","VL1824"
"247090850","1401:112:2","OTB","VL1824"
"247090850","1401:112:3","OTB","VL1824"
