"vessel_name","MMSI","quarter","name_vreg","Gear","vlength","Place.of.registration.name","port","lon_port","lat_port"
"MARIA","247093060",1,"MARIA","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"MARIAMADRE","247092830",2,"MARIA MADRE","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"MARIANNA","247093010",2,"MARIANNA","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"MP CLAUDIO PADRE","247123920",2,"CLAUDIO PADRE","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"MP FRANCESCO PADRE","247099360",1,"FRANCESCO PADRE","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"MP NUOVA LUCIA","247892860",2,"NUOVA LUCIA","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"M\P S. PIETRO I","247149790",4,"SAN PIETRO I","OTB","VL1218","Terrasini","FIUMICINO",12.2207031250001,41.7708740230001
"NONNO CIRO","247092850",2,"NONNO CIRO","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"S.VINCENZO","247092920",1,"SAN VINCENZO","OTB","VL1824","Golfo Aranci","FIUMICINO",12.2207031250001,41.7708740230001
"SAN.PIETRO I","247149790",3,"SAN PIETRO I","OTB","VL1218","Terrasini","FIUMICINO",12.2207031250001,41.7708740230001
"ARDITO","247044930",2,"ARDITO","OTB","VL1824","Santa Margherita Ligure","CHIAVARI",9.34481796800009,44.3062986360001
"JAZZ","247200190",4,"JAZZ","OTB","VL1218","Sestri Levante","CHIAVARI",9.34481796800009,44.3062986360001
"FURORE","247101230",2,"FURORE","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"CESARINA","247220290",2,"CESARINA","OTB","VL1218","Piombino","PIOMBINO",10.5452880860001,42.9302978520001
"MISS MARY","247066930",3,"MISS MARY","OTB","VL1218","Livorno","LIVORNO",10.3030760000001,43.5636405
"FRANCESCO GIACALONE","247147190",4,"FRANCESCO GIACALONE","OTB","VL2440","Mazara Del Vallo","PORTOFERRAIO",10.3239135740001,42.813720703
"LIBERA","247096930",4,"LIBERA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"NUOVA MAREA","247220130",2,"NUOVA MAREA","OTB","VL2440","Portoferraio","PORTOFERRAIO",10.3239135740001,42.813720703
"NUOVA MAREA","247220130",2,"NUOVA MAREA","OTB","VL2440","Portoferraio","PORTOFERRAIO",10.3239135740001,42.813720703
