"year","gear","species","yearly_kg","yearly_value","price"
"2013","OTB","ARA",1988.26736111111,42347.9965277778,21.2989446771949
"2013","OTB","CTC",1530.91869918699,11426.3055284553,7.46369192206178
"2013","OTB","DPS",302.9140625,4315.67796875,14.2472024346839
"2013","OTB","EOI",5159,12089.4821578947,2.34337704165434
"2013","OTB","HKE",4297.5,20406.9758426966,4.74856913151754
"2013","OTB","HOM",2809.13043478261,2805.87417391304,0.998840829592942
"2013","OTB","JAX",2966.35593220339,3733.46237288136,1.25860229123218
"2013","OTB","MTS",4037.72727272727,18169.6996694215,4.49998190619467
"2013","OTB","MUT",4006.74074074074,22214.1566137566,5.54419615621294
"2013","OTB","MUX",1958.38709677419,14050.6050537634,7.17458008016252
"2013","OTB","MZZ",2830.48623853211,6629.12155963303,2.34204338088246
"2013","OTB","OCC",2743.01595744681,9704.63085106383,3.53794181354193
"2013","OTB","PAC",3421.13274336283,12276.3146017699,3.58837716121556
"2013","OTB","SBG",3671.40963855422,28418.6944578313,7.74054035251225
"2013","OTB","SQM",3606.57055214724,7739.49233128834,2.14594230707077
"2013","PS","AMB",582,6338.89714285714,10.8915758468336
"2013","PS","ANE",77016.064516129,145624.733064516,1.89083581431272
"2013","PS","BFT",61594.25,615942.5,10
"2013","PS","BON",4860.68,17488.9596,3.59804792745048
"2013","PS","DOL",72.8333333333333,327.335,4.49430205949657
"2013","PS","FRI",9080,27817.95,3.06365088105727
"2013","PS","HMM",2473.69230769231,3029.18,1.22455811928603
"2013","PS","HMY",650,1705.07,2.62318461538462
"2013","PS","HOM",1764.57692307692,1762.52076923077,0.998834761001765
"2013","PS","LTA",1825.33333333333,4049.33,2.2184057706355
"2013","PS","MAC",6116.50769230769,8623.01675384615,1.409794148496
"2013","PS","MAZ",2082.8,3224.0565,1.54794339350874
"2013","PS","PIL",41566.6989247312,67143.1192043011,1.61531035519283
"2013","PS","SAA",57372.7906976744,39486.7897674419,0.688249417315558
"2013","PS","SLM",1758.75,1480.1475,0.841590618336887
"2014","OTB","ARA",1130.19813519814,34048.2781351981,30.1259372802178
"2014","OTB","CTC",1262.8,9520.06876,7.5388571111815
"2014","OTB","DPS",309.2734082397,4993.46707865169,16.1458015646193
"2014","OTB","EOI",2351.2188449848,6187.4403343465,2.63158844083971
"2014","OTB","HKE",2534.02433090024,17010.2691970803,6.71274896205799
"2014","OTB","HOM",1497.39583333333,1202.99854166667,0.803393808695652
"2014","OTB","JAX",2380.55924170616,2470.24322274882,1.03767349262788
"2014","OTB","MTS",2430.26808510638,9145.7050212766,3.76324944450573
"2014","OTB","MUT",2130.65325077399,12245.7326315789,5.74740757424067
"2014","OTB","MUX",1306.7806122449,9384.58168367347,7.18145157323068
"2014","OTB","MZZ",3773.21792618629,8951.19764499121,2.37229808086873
"2014","OTB","OCC",1917.77034883721,9201.02947674419,4.79777439583577
"2014","OTB","PAC",2224.66527196653,7237.63594142259,3.25335952002558
"2014","OTB","SBG",1920.67948717949,15933.4151282051,8.2957178616008
"2014","OTB","SQM",1986.44474393531,4107.02056603774,2.06752318612266
"2014","PS","AMB",763.384615384615,7982.60069230769,10.4568529826683
"2014","PS","ANE",41505.4459102902,83466.1513720317,2.01096867029052
"2014","PS","BFT",32126,321259.1275,9.99997284131233
"2014","PS","BON",793.435897435897,3516.78564102564,4.43235005170631
"2014","PS","DOL",172.571428571429,1211.22,7.01865894039735
"2014","PS","FRI",4431.94444444444,6515.78925925926,1.47018748563669
"2014","PS","HMM",1890.80769230769,1847.24230769231,0.976959378369032
"2014","PS","HMY",229.555555555556,582.378888888889,2.53698451113262
"2014","PS","HOM",639.962962962963,514.141851851852,0.803393136176862
"2014","PS","LTA",1866.16,4441.4516,2.37999507009045
"2014","PS","MAC",3262.75,6437.8275,1.97312926212551
"2014","PS","MAZ",325.076923076923,339.261538461538,1.04363464268812
"2014","PS","PIL",25002.1711711712,49606.9912012012,1.98410733458223
"2014","PS","SAA",13281.6559139785,5862.5040860215,0.441398581923163
"2014","PS","SLM",2059.6,1277.774,0.620399106622645
"2015","OTB","ARA",1500.98759305211,45641.0428287841,30.4073418328379
"2015","OTB","CTC",1331.23348017621,9392.11365638766,7.05519639961614
"2015","OTB","DPS",4579.7249070632,98534.4978438662,21.515374797272
"2015","OTB","EOI",1879.2,6231.18330434783,3.31587021304163
"2015","OTB","HKE",2065.59971910112,16078.9787219101,7.78416968845596
"2015","OTB","HOM",1231.89756097561,1277.60707317073,1.03710496200587
"2015","OTB","JAX",1663.68527918782,1810.23614213198,1.0880880926083
"2015","OTB","MTS",2944.20975609756,11771.3723902439,3.99814325927865
