"vessel_name","MMSI","quarter","Country","CFR","UVI","Event","Event.Start.Date","Event.End.Date","Registration.Number","External.marking","Place.of.registration","Place.of.registration.name","IRCS","IRCS.indicator","Licence.indicator","VMS.indicator","ERS.indicator","ERS.Exempt.indicator","AIS.indicator","Vessel.Type","Gear","Subsidiary.fishing.gear.1","Subsidiary.fishing.gear.2","Subsidiary.fishing.gear.3","Subsidiary.fishing.gear.4","Subsidiary.fishing.gear.5","LOA","LBP","Tonnage.GT","Other.tonnage","GTs","Power.of.main.engine","Power.of.auxiliary.engine","Hull.material","Date.of.entry.into.service","Segment","Country.of.importation.exportation","Type.of.export","Public.aid","Year.of.construction","vlength","port","X","Y"
"GIANNI RIVERA","247066180",1,"ITA","ITA000005318",8544090,"MOD","2020-08-25","2100-12-31","02LI02827","02LI02827","00050","Porto Santo Stefano","IMQF","Y","Y","Y","Y","","Y","FX","OTB","PTM","","","","",24.75,21.54,86,59.6,0,441.17,"0.00","2","1979-03-22","MFL","","","","1979-01-01","VL2440","PORTO SANTO STEFANO",11.125305176,42.436096191
"LEONE MARCO","247099830",2,"ITA","ITA000003534",NA,"MOD","2020-08-25","2100-12-31","00CV01997","00CV01997","00071","Civitavecchia","IPLN","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",23.45,19.83,61,57.16,0,143,"0.00","1","1962-11-05","MFL","","","","1961-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"MARETTO","247066290",2,"ITA","ITA000005184",NA,"MOD","2018-06-21","2100-12-31","08LI00115","08LI00115","00056","Porto Ercole","IUQC","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",19.2,16.07,42,34.29,0,189,"0.00","1","1990-05-14","MFL","","","","1990-01-01","VL1824","PORTO ERCOLE",11.2047666829999,42.3896836450002
"MP LEDO","247222320",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PORTO ERCOLE",11.2047666829999,42.3896836450002
"PRIMO","247042630",3,"ITA","ITA000015242",NA,"MOD","2015-01-31","2100-12-31","08LI00101","08LI00101","00056","Porto Ercole","IRXU","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",15.41,14.8,30,23.46,0,219,"0.00","1","1961-12-05","MFL","","","","1961-01-01","VL1218","PORTO ERCOLE",11.2047666829999,42.3896836450002
"TOMMASO DE SIMONE","247110830",2,"ITA","ITA000015811",NA,"MOD","2018-03-06","2100-12-31","00CV02310","00CV02310","00071","Civitavecchia","IVGI","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",22.85,19,63,57.58,0,206,"0.00","1","1989-12-09","MFL","","","","1988-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"ARINA MADRE","247045120",3,"ITA","ITA000001306",NA,"MOD","2020-08-25","2100-12-31","00GE08782","00GE08782","00014","Genova","INOF","Y","Y","N","Y","","Y","FX","OTB","NO","","","","",13.04,12.8,14,9.8,0,220,"0.00","1","1984-04-10","MFL","","","","1984-01-01","VL1218","PORTOFINO",9.21051025400016,44.3024902340001
"JAZZ","247200190",4,"ITA","ITA000026814",NA,"MOD","2016-03-01","2100-12-31","05GE00099","05GE00099","00018","Sestri Levante","IFHQ2","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",16.88,14.5,57,17,0,180,"0.00","2","2005-10-31","MFL","","","","2000-01-01","VL1218","CHIAVARI",9.34481796800009,44.3062986360001
"ARDITO","247044930",2,"ITA","ITA000004238",NA,"MOD","2016-04-20","2100-12-31","02GE03356","02GE03356","00015","Santa Margherita Ligure","IJDM","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",18.2,16.3,26,29.41,0,161.8,"0.00","1","1985-01-22","MFL","","","","1981-01-01","VL1824","CHIAVARI",9.34481796800009,44.3062986360001
"JAZZ","247200190",4,"ITA","ITA000026814",NA,"MOD","2016-03-01","2100-12-31","05GE00099","05GE00099","00018","Sestri Levante","IFHQ2","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",16.88,14.5,57,17,0,180,"0.00","2","2005-10-31","MFL","","","","2000-01-01","VL1218","CHIAVARI",9.34481796800009,44.3062986360001
"CRESCENZO 1","247128190",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"DESTRIERO I","247122360",3,"ITA","ITA000018246",NA,"MOD","2020-10-16","2100-12-31","01PE00972","01PE00972","00269","Licata","IQPL","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",18.4,16.91,55,37.11,0,350.8,"0.00","1","1992-05-28","MFL","","","","1992-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"FORTUNATA","247099810",2,"ITA","ITA000018637",NA,"MOD","2017-01-03","2100-12-31","00CV02168","00CV02168","00071","Civitavecchia","INBS","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",18.5,14.88,41,28.64,0,221,"0.00","1","1993-07-23","MFL","","","","1993-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"LA FENICE","247099820",2,"ITA","ITA000018906",NA,"MOD","2021-04-22","2100-12-31","00CV02246","00CV02246","00071","Civitavecchia","IJYL","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",20.6,17.35,40,22.77,0,128,"0.00","1","1994-09-26","MFL","","","","1994-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"LEONE MARCO","247099830",2,"ITA","ITA000003534",NA,"MOD","2020-08-25","2100-12-31","00CV01997","00CV01997","00071","Civitavecchia","IPLN","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",23.45,19.83,61,57.16,0,143,"0.00","1","1962-11-05","MFL","","","","1961-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"LIDA ASSUNTA","247094280",2,"ITA","ITA000003546",NA,"MOD","2023-11-17","2100-12-31","00CV02022","00CV02022","00071","Civitavecchia","IPJA","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",19.55,16.78,39,32.78,0,311,"0.00","1","1983-02-02","MFL","","","","1956-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
