"Country","CFR","UVI","Event","Event.Start.Date","Event.End.Date","Registration.Number","External.marking","vessel_name","Place.of.registration","Place.of.registration.name","IRCS","IRCS.indicator","Licence.indicator","VMS.indicator","ERS.indicator","ERS.Exempt.indicator","AIS.indicator","MMSI","Vessel.Type","Gear","Subsidiary.fishing.gear.1","Subsidiary.fishing.gear.2","Subsidiary.fishing.gear.3","Subsidiary.fishing.gear.4","Subsidiary.fishing.gear.5","LOA","LBP","Tonnage.GT","Other.tonnage","GTs","Power.of.main.engine","Power.of.auxiliary.engine","Hull.material","Date.of.entry.into.service","Segment","Country.of.importation.exportation","Type.of.export","Public.aid","Year.of.construction","vlength"
"ITA","ITA000025517",NA,"MOD","2021-04-07","2100-12-31","00ML01154","00ML01154","NUOVO IMMACOLATA","00162","Molfetta","IFIJ2","Y","Y","N","Y","","Y","247122440","FX","OTB","GNS","","","","",14.5,13.92,23,9.56,0,100,"0.00","1","2002-04-10","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025521",NA,"MOD","2020-08-25","2100-12-31","00LM01827","00LM01827","SAN CIRO","00544","La Maddalena","IZIV","Y","Y","N","N","","Y","247090920","FX","OTB","LLS","","","","",12.43,11.07,12,9.67,0,162,"0.00","1","2002-02-13","MFL","","","","2001-01-01","VL1218"
"ITA","ITA000025523",NA,"MOD","2022-05-20","2100-12-31","01OR00152","01OR00152","LUIGIA MADRE","00175","Vasto","ILVT","Y","Y","N","Y","","N","","FX","OTB","NO","","","","",14.77,14.4,26,9.95,0,161.8,"0.00","1","2001-01-11","MFL","","","","2000-01-01","VL1218"
"ITA","ITA000025525",NA,"MOD","2017-01-23","2100-12-31","00TM00243","00TM00243","NETTUNO II","00174","Termoli","IZJL","Y","Y","Y","Y","","Y","247076010","FX","OTB","LLS","","","","",16.12,14.07,33,9.9,0,131,"0.00","4","2002-04-11","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025526",NA,"MOD","2021-11-16","2100-12-31","00CA03953","00CA03953","MARGO'","00224","Cagliari","IFIQ2","Y","Y","N","Y","","Y","247153470","FX","OTB","PS","","","","",13.22,12.55,8,9.82,0,162,"0.00","1","1993-03-22","MFL","","","","1992-01-01","VL1218"
"ITA","ITA000025541",NA,"MOD","2023-01-15","2100-12-31","05RC01076","05RC01076","ODISSEA","00135","Bagnara","IFWF2","Y","Y","N","Y","","Y","247131130","FX","OTB","LLS","","","","",14.75,14.29,29,9.94,0,109.5,"0.00","1","2002-05-06","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025548",8690411,"MOD","2021-05-11","2100-12-31","00PC00633M","00PC00633M","ONDA","00172","Pescara","IZKV","Y","Y","Y","Y","","Y","247100740","FX","OTB","PS","","","","",39.1,38,197,189.54,0,478,"0.00","2","2002-05-15","MFL","","","","2002-01-01","VL2440"
"ITA","ITA000025558",NA,"MOD","2022-02-03","2100-12-31","00CR01293","00CR01293","No Name","00145","Crotone","IIJV2","Y","Y","N","Y","","Y","247280430","FX","OTB","NO","","","","",13.56,13.31,7,9.94,0,104.4,"0.00","1","2002-05-06","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025570",NA,"MOD","2013-04-15","2100-12-31","02BL00801","02BL00801","NUOVA ANTARES","00166","Bisceglie","IZJY","Y","Y","Y","","","","","FX","OTB","PS","","","","",25.11,19.97,70,59.09,0,234.4,"0.00","1","2002-06-14","MFL","","","","2002-01-01","VL2440"
"ITA","ITA000025571",NA,"MOD","2023-02-16","2100-12-31","00ML01156","00ML01156","EOLO","00162","Molfetta","IZJI","Y","Y","Y","Y","","Y","247121820","FX","OTB","PS","","","","",20.3,19.32,76,58.6,0,220.8,"0.00","1","2002-06-13","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025577",NA,"MOD","2021-07-27","2100-12-31","03BL00571","03BL00571","S. ANDREA","00169","Margherita Di Savoia","IKTN2","Y","Y","N","Y","","Y","247126770","FX","OTB","GNS","","","","",12.22,11.85,15,9.26,0,95.5,"0.00","1","2002-06-14","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025582",NA,"MOD","2016-11-17","2100-12-31","00ML01157","00ML01157","NUOVA CARMELA MADRE","00162","Molfetta","IZLB","Y","Y","Y","Y","","Y","247121810","FX","OTB","NO","","","","",21.5,18.03,57,58.95,0,353,"0.00","1","2002-06-24","MFL","","","","2001-01-01","VL1824"
"ITA","ITA000025602",NA,"MOD","2020-08-25","2100-12-31","00IM01218","00IM01218","ALVI","00001","Imperia","ILOG","Y","Y","N","Y","","Y","247064570","FX","OTB","GNS","","","","",12.71,10.57,13,9.89,0,119.8,"0.00","1","2000-09-13","MFL","","","","2000-01-01","VL1218"
"ITA","ITA000025608",NA,"MOD","2017-03-24","2100-12-31","00TA04733","00TA04733","TERESA DE DOMENICO","00152","Taranto","IKWK2","Y","Y","N","","","","","FX","OTB","GNS","","","","",14.64,14.05,15,9.53,0,95.58,"0.00","1","2002-07-11","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025609",NA,"MOD","2020-12-01","2100-12-31","00PS01745","00PS01745","ORCA","00194","Pesaro","iznd","Y","Y","Y","Y","","Y","247081730","FX","OTB","NO","","","","",22.05,21.5,94,51.66,0,478,"0.00","2","2002-07-10","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025626",8576249,"MOD","2021-10-12","2100-12-31","02NA01883","02NA01883","GIULIO GENNARO","00085","Pozzuoli","IFAQ","Y","Y","Y","Y","","Y","247110880","FX","OTB","PTM","","","","",19.96,17.81,91,37.79,0,637,"0.00","2","2002-07-25","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025639",NA,"MOD","2022-01-05","2100-12-31","04GA01223","04GA01223","SILVERIO PADRE","00075","Terracina","IZMV","Y","Y","Y","Y","","Y","247092370","FX","OTB","GNS","","","","",19.47,16.64,47,24.79,0,190,"0.00","1","2002-08-19","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025640",8545288,"MOD","2020-08-25","2100-12-31","00CI03584","00CI03584","MASSIMO TANFA","00207","Chioggia","IZMX","Y","Y","Y","Y","","N","","FX","OTB","NO","","","","",29.3,23.57,168,97.49,0,600.58,"0.00","2","2002-06-27","MFL","","","","2001-01-01","VL2440"
"ITA","ITA000025641",8783579,"MOD","2020-08-25","2100-12-31","00MV01394","00MV01394","ALESSANDRO","00273","Mazara Del Vallo","IZNT","Y","Y","Y","Y","","Y","247151670","FX","OTB","LLS","","","","",22.5,21.07,158,85.14,0,600.58,"0.00","2","2002-07-08","MFL","","","","1990-01-01","VL1824"
"ITA","ITA000025644",NA,"MOD","2020-08-25","2100-12-31","00VG03804","00VG03804","FEDERICA II","00044","Viareggio","IIBX2","Y","Y","N","N","","Y","247065310","FX","OTB","LLS","","","","",10.27,8.78,4,4.88,0,58.8,"0.00","1","2001-05-03","MFL","","","","2001-01-01","VL0612"
"ITA","ITA000025651",NA,"MOD","2017-01-01","2100-12-31","00MF03210","00MF03210","SIRIO","00167","Manfredonia","IZOD","Y","Y","Y","Y","","Y","247123740","FX","OTB","GNS","","","","",15.08,14.51,29,9.62,0,107,"0.00","1","2002-09-05","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025657",NA,"MOD","2013-05-31","2100-12-31","00RO08214","00RO08214","AGOSTINO IMPERATO","00072","Roma","IZNI","Y","Y","Y","Y","","Y","247092790","FX","OTB","NO","","","","",21,18.96,90,35.43,0,367.65,"0.00","2","2002-08-06","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025661",NA,"MOD","2006-11-01","2100-12-31","00RM04441","00RM04441","ARCADIA","00193","Rimini","IUUV","Y","Y","Y","","","","","FX","OTB","PTM","","","","",18,14.38,29,9.22,0,147,"0.00","1","2002-08-02","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025663",NA,"MOD","2018-07-03","2100-12-31","00AN04028","00AN04028","ORIZZONTE","00187","Ancona","IZOK","Y","Y","Y","Y","","Y","247081740","FX","OTB","NO","","","","",19.23,17.02,82,22.29,0,234,"0.00","2","2002-09-09","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025664",NA,"MOD","2021-11-16","2100-12-31","00RO08213","00RO08213","BISMARCK","00072","Roma","IZNH","Y","Y","Y","Y","","Y","247092770","FX","OTB","NO","","","","",22,19.68,92,92,0,211,"0.00","2","2002-08-06","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025669",NA,"MOD","2024-09-19","2100-12-31","00MF03208","00MF03208","SANTAMARIA GIUSEPPINA","00167","Manfredonia","IZKS","Y","Y","Y","Y","","Y","247121760","FX","OTB","GNS","","","","",14.75,13.49,29,9.7,0,200,"0.00","1","2002-05-28","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025676",NA,"MOD","2022-02-20","2100-12-31","00GT00680","00GT00680","SAN MASSIMO","00133","Gioia Tauro","IFIX2","Y","Y","N","Y","","Y","247300230","FX","OTB","GNS","","","","",14.9,14.58,14,9.48,0,109.5,"0.00","1","2002-09-30","MFL","","","","2002-01-01","VL1218"
