"","X","Time.Range","Vessel.ID","Flag","Vessel.Name","Entry.Timestamp","Exit.Timestamp","Gear.Type","Vessel.Type","MMSI","IMO","CallSign","First.Transmission.Date","Last.Transmission.Date","Apparent.Fishing.Hours","month","quarter","id"
"2336",5249,"2021-03","328120e10-0326-9ee3-a03c-d0deb4331086","ITA","ANGELA MADRE","2021-01-13 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247068110",NA,"IJTB","2013-07-15 00:48:54","2025-07-20 23:55:21",1.06,3,2,"13G0"
"2337",5271,"2021-05","72c6c4de9-9f7c-92c8-9bd0-64f0777105bb","ITA","MP CLAUDIO PADRE","2021-01-04 06:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247123920",NA,"IPFT","2019-08-07 07:56:24","2025-07-20 23:59:27",14.34,5,2,"12G2"
"2338",5280,"2021-04","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA","2021-01-04 02:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066190",NA,NA,"2014-04-07 00:24:27","2025-07-18 14:14:53",18.08,4,2,"13G0"
"2339",5291,"2021-05","dffa0262e-e1b5-4a18-aac7-f56b72538116","ITA","MARE AZZURRO","2021-01-04 03:00:00","2021-12-30 09:00:00","TRAWLERS","FISHING","247092870",NA,"IKCW","2020-04-14 00:04:06","2025-07-19 08:49:19",4.76,5,2,"11G2"
"2340",5294,"2021-03","312477943-32cd-5c19-e93a-3622cb1cf6b3","ITA","BEN HUR","2021-01-04 01:00:00","2021-12-30 16:00:00","TRAWLERS","FISHING","247066420",NA,NA,"2013-09-19 00:56:46","2025-07-18 18:00:47",6.39,3,2,"13G0"
"2341",5306,"2021-03","ce8a831f4-4a0c-07ab-bd47-41342088ed6d","ITA","ANASTASIA","2021-01-04","2021-12-29 11:00:00","TRAWLERS","FISHING","247066860",NA,"IRAV","2013-05-22 16:53:29","2025-07-20 23:59:18",4.68,3,2,"16G0"
"2342",5310,"2021-04","c00e8f8fa-a22a-f5cb-c833-b9366d851de5","ITA","FRIDA","2021-01-04 05:00:00","2021-12-23 11:00:00","TRAWLERS","FISHING","247065690",NA,"IUXA","2013-05-02 01:49:30","2025-07-20 23:59:35",1.08,4,2,"13G0"
"2343",5313,"2021-03","121e6a2cc-cb94-cd47-27e9-6ded9fc6f6d3","ITA","POLARIS","2021-01-27 04:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247069530",NA,"IOEE","2020-12-14 00:50:07","2025-07-12 08:35:22",12.56,3,2,"14G0"
"2344",5320,"2021-04","a5dfa5104-4dbc-0aa6-e7ef-c1665b4ec2e9","ITA","MONSSER","2021-01-03 08:00:00","2021-12-30 09:00:00","TRAWLERS","FISHING","247044790",NA,"IJYT","2019-12-09 09:29:50","2025-07-20 23:57:30",11.62,4,2,"14G0"
"2345",5337,"2021-03","303dfab15-5072-b1c2-7b49-226146b04c37","ITA","L ALBA","2021-01-04 04:00:00","2021-12-30 10:00:00","TRAWLERS","FISHING","247119090",NA,"IMAT2","2013-06-04 15:04:11","2024-12-07 10:58:09",36.02,3,2,"12G2"
"2346",5339,"2021-04","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",11.57,4,2,"14F9"
"2347",5340,"2021-03","cd9d39ddf-fddd-1166-7dbc-501cf38f5991","ITA","MARIA","2021-01-04 05:00:00","2021-12-28 11:00:00","TRAWLERS","FISHING","247093060",NA,"IRRH","2013-05-31 11:14:37","2025-07-15 10:24:08",1.04,3,2,"12G1"
"2348",5360,"2021-04","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.","2021-01-04 04:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247093030",NA,"IFUI","2013-05-19 10:19:32","2025-07-20 23:59:59",33.91,4,2,"12G1"
"2349",5377,"2021-05","232e1b598-8373-719a-adc4-f14290e5318e","ITA","GIACOMO","2021-01-04 05:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247093040",NA,"INSI","2013-04-02 03:05:29","2024-10-28 12:40:57",38.02,5,2,"12G2"
"2350",5389,"2021-05","312477943-32cd-5c19-e93a-3622cb1cf6b3","ITA","BEN HUR","2021-01-04 01:00:00","2021-12-30 16:00:00","TRAWLERS","FISHING","247066420",NA,NA,"2013-09-19 00:56:46","2025-07-18 18:00:47",33.55,5,2,"14G0"
"2351",5412,"2021-04","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",2.2,4,2,"14G0"
"2352",5413,"2021-03","f707da723-3baf-8578-cc91-60127167b9be","ITA","BISMARK","2021-01-04 03:00:00","2021-12-29 21:00:00","TRAWLERS","FISHING","247092770",NA,NA,"2013-12-08 23:46:03","2023-08-19 09:09:33",9.27,3,2,"11G2"
"2353",5427,"2021-04","eb7ba4542-21a3-7c0d-607c-6d09d5218877","ITA","S. FERMINA","2021-01-04 03:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247094310",NA,"IIIL","2013-05-17 05:04:21","2025-07-16 14:29:29",0.82,4,2,"12G1"
"2354",5439,"2021-03","6d292d378-8dfa-7c9b-7b69-cd36b1ccdfa9","ITA","FURORE","2021-01-04","2021-12-23 14:00:00","TRAWLERS","FISHING","247101230",NA,"IKRH","2013-06-04 02:43:42","2025-07-18 16:35:18",0.9,3,2,"13G0"
"2355",5449,"2021-05","240bd4799-9864-03e2-03e5-81046322d29e","ITA","PAOLA MADRE","2021-01-04 10:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247090910",NA,"ILTG","2013-02-08 16:19:43","2025-07-20 23:59:44",1.93,5,2,"11G2"
"2356",5451,"2021-04","029e738bc-c6a6-bc59-12ce-483f333c1d4d","ITA","MIRELLA","2021-01-03 06:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247065730",NA,"INRH","2017-08-20 11:43:11","2025-07-20 23:42:50",6.16,4,2,"13G0"
"2357",5464,"2021-05","e5fd8e9da-a2ca-6912-cb99-41a7fa8b1dbe","ITA","P.D`ERCOLE","2021-01-04 06:00:00","2021-12-30 17:00:00","TRAWLERS","FISHING","247204460",NA,"IFUE","2013-05-29 19:11:39","2025-07-18 13:48:23",5.93,5,2,"17F8"
"2358",5465,"2021-04","0474f132b-bef3-7a95-4871-5a4cca576cc3","ITA","ONDAMARINA","2021-01-04 01:00:00","2021-12-29 14:00:00","TRAWLERS","FISHING","247041470",NA,"INHW","2017-06-27 11:23:33","2025-07-20 23:37:46",1.5,4,2,"16F9"
"2359",5469,"2021-03","f707da723-3baf-8578-cc91-60127167b9be","ITA","BISMARK","2021-01-04 03:00:00","2021-12-29 21:00:00","TRAWLERS","FISHING","247092770",NA,NA,"2013-12-08 23:46:03","2023-08-19 09:09:33",1.08,3,2,"12G2"
"2360",5477,"2021-03","f707da723-3baf-8578-cc91-60127167b9be","ITA","BISMARK","2021-01-04 03:00:00","2021-12-29 21:00:00","TRAWLERS","FISHING","247092770",NA,NA,"2013-12-08 23:46:03","2023-08-19 09:09:33",0.46,3,2,"12G2"
"2361",5537,"2021-04","0474f132b-bef3-7a95-4871-5a4cca576cc3","ITA","ONDAMARINA","2021-01-04 01:00:00","2021-12-29 14:00:00","TRAWLERS","FISHING","247041470",NA,"INHW","2017-06-27 11:23:33","2025-07-20 23:37:46",6.09,4,2,"16F9"
"2362",5542,"2021-04","1d92f6f7b-b03c-0265-3460-f6247b0b3c64","ITA","NONNO CIRO","2021-01-04 03:00:00","2021-12-30 08:00:00","TRAWLERS","FISHING","247092850",NA,"ILPG","2013-04-29 03:13:52","2025-07-19 11:05:07",1.14,4,2,"12G2"
"2363",5547,"2021-05","232e1b598-8373-719a-adc4-f14290e5318e","ITA","GIACOMO","2021-01-04 05:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247093040",NA,"INSI","2013-04-02 03:05:29","2024-10-28 12:40:57",3.39,5,2,"12G1"
"2364",5550,"2021-05","312477943-32cd-5c19-e93a-3622cb1cf6b3","ITA","BEN HUR","2021-01-04 01:00:00","2021-12-30 16:00:00","TRAWLERS","FISHING","247066420",NA,NA,"2013-09-19 00:56:46","2025-07-18 18:00:47",10.92,5,2,"14G0"
"2365",5554,"2021-05","312477943-32cd-5c19-e93a-3622cb1cf6b3","ITA","BEN HUR","2021-01-04 01:00:00","2021-12-30 16:00:00","TRAWLERS","FISHING","247066420",NA,NA,"2013-09-19 00:56:46","2025-07-18 18:00:47",15.63,5,2,"14G0"
"2366",5576,"2021-05","6d292d378-8dfa-7c9b-7b69-cd36b1ccdfa9","ITA","FURORE","2021-01-04","2021-12-23 14:00:00","TRAWLERS","FISHING","247101230",NA,"IKRH","2013-06-04 02:43:42","2025-07-18 16:35:18",9.07,5,2,"13G0"
"2367",5586,"2021-03","f707da723-3baf-8578-cc91-60127167b9be","ITA","BISMARK","2021-01-04 03:00:00","2021-12-29 21:00:00","TRAWLERS","FISHING","247092770",NA,NA,"2013-12-08 23:46:03","2023-08-19 09:09:33",6.4,3,2,"11G2"
"2368",5588,"2021-05","6d292d378-8dfa-7c9b-7b69-cd36b1ccdfa9","ITA","FURORE","2021-01-04","2021-12-23 14:00:00","TRAWLERS","FISHING","247101230",NA,"IKRH","2013-06-04 02:43:42","2025-07-18 16:35:18",5.98,5,2,"13G0"
"2369",5600,"2021-03","f707da723-3baf-8578-cc91-60127167b9be","ITA","BISMARK","2021-01-04 03:00:00","2021-12-29 21:00:00","TRAWLERS","FISHING","247092770",NA,NA,"2013-12-08 23:46:03","2023-08-19 09:09:33",36.59,3,2,"12G2"
"2370",5603,"2021-05","73f0bbb55-5d59-9cab-dd39-c56b0c8e7c20","ITA","RAIMONDO SFERLAZZO","2021-01-04 05:00:00","2021-12-30 07:00:00","TRAWLERS","FISHING","247250620",NA,"ILWO.2","2013-05-20 01:15:41","2025-07-18 14:14:07",1.81,5,2,"11G2"
"2371",5604,"2021-04","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",3.4,4,2,"13G0"
"2372",5608,"2021-05","232e1b598-8373-719a-adc4-f14290e5318e","ITA","GIACOMO","2021-01-04 05:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247093040",NA,"INSI","2013-04-02 03:05:29","2024-10-28 12:40:57",15.5,5,2,"12G2"
"2373",5626,"2021-05","a8e7a4833-3700-0508-9a2d-ec87ae97a3a2","ITA","MARIAMADRE","2021-01-04 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247092830",NA,"IOXL","2013-05-07 10:50:35","2025-07-20 23:59:26",7.59,5,2,"11G2"
"2374",5639,"2021-05","01ac2f900-0c47-a852-c650-6aa82b754775","ITA","GIANNI RIVERA","2021-01-03 23:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066180",NA,"IMQF","2013-06-14 14:34:51","2025-07-18 16:28:11",10.06,5,2,"13G0"
"2375",5645,"2021-05","7ac48f28b-bd17-d84a-d29c-cf66a0eea592","ITA","MP FRANCESCO PADRE","2021-01-04 04:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247099360",NA,"IKLA2","2013-04-21 22:18:21","2025-07-20 23:59:26",31.46,5,2,"12G2"
"2376",5650,"2021-04","bae0ea02d-dae5-e443-2f40-54bd22f650d2","ITA","OSCAR","2021-01-04 03:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247094340",NA,"IQSV","2013-05-02 01:10:38","2025-07-20 07:09:56",8.62,4,2,"12G1"
"2377",5651,"2021-03","7485509a5-5caf-a8e8-9c6c-5fee55de0c70","ITA","SGIUSEPPE","2021-01-04 05:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247045180",NA,"IKDO","2014-05-29 04:02:34","2025-07-18 14:01:25",24.9,3,2,"17F9"
"2378",5652,"2021-05","10a08ce71-17e9-f2b1-204a-88df7da4cd6f","ITA","DESTRIERO I","2021-01-04 03:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247122360",NA,"IQPL","2014-04-07 01:50:15","2025-07-18 16:57:10",3.17,5,2,"13G1"
"2379",5662,"2021-05","17369ded3-316e-47fe-dbd2-9296123a9216","ITA","ISABELLA","2021-01-03 09:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247065440",NA,"IOWM","2013-03-25 02:43:51","2025-07-20 23:37:47",43.7,5,2,"13G0"
"2380",5668,"2021-04","268292ae9-906d-53a3-efd6-1cf0bea578d1","ITA","F/V PATRIZIA","2021-01-05 07:00:00","2021-12-28 12:00:00","TRAWLERS","FISHING","247042850",NA,"INGP","2014-05-05 06:13:15","2025-07-18 17:31:43",18.11,4,2,"16F7"
"2381",5691,"2021-05","a8e7a4833-3700-0508-9a2d-ec87ae97a3a2","ITA","MARIAMADRE","2021-01-04 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247092830",NA,"IOXL","2013-05-07 10:50:35","2025-07-20 23:59:26",2.32,5,2,"12G2"
"2382",5699,"2021-03","898bfd541-1611-3e35-93d7-e1bfbe13d026","ITA","MP NUOVA LUCIA","2021-01-04 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247892860",NA,"IIJN","2019-12-13 15:03:32","2025-07-18 13:23:11",26.27,3,2,"12G1"
"2383",5700,"2021-05","a8e7a4833-3700-0508-9a2d-ec87ae97a3a2","ITA","MARIAMADRE","2021-01-04 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247092830",NA,"IOXL","2013-05-07 10:50:35","2025-07-20 23:59:26",22.51,5,2,"12G1"
"2384",5702,"2021-03","beb9ae3d4-4062-d7b2-0c1f-a066626a3eeb","ITA","N.VITTORIO-FILIPPO","2021-01-04 05:00:00","2021-12-28 11:00:00","TRAWLERS","FISHING","247044920",NA,"IOPF","2014-05-26 04:21:13","2025-07-18 16:55:41",38.98,3,2,"17F9"
"2385",5705,"2021-03","beb9ae3d4-4062-d7b2-0c1f-a066626a3eeb","ITA","N.VITTORIO-FILIPPO","2021-01-04 05:00:00","2021-12-28 11:00:00","TRAWLERS","FISHING","247044920",NA,"IOPF","2014-05-26 04:21:13","2025-07-18 16:55:41",40.33,3,2,"17F9"
"2386",5709,"2021-04","bae0ea02d-dae5-e443-2f40-54bd22f650d2","ITA","OSCAR","2021-01-04 03:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247094340",NA,"IQSV","2013-05-02 01:10:38","2025-07-20 07:09:56",2.97,4,2,"13G1"
"2387",5711,"2021-03","beb9ae3d4-4062-d7b2-0c1f-a066626a3eeb","ITA","N.VITTORIO-FILIPPO","2021-01-04 05:00:00","2021-12-28 11:00:00","TRAWLERS","FISHING","247044920",NA,"IOPF","2014-05-26 04:21:13","2025-07-18 16:55:41",7.04,3,2,"17F8"
"2388",5726,"2021-05","17369ded3-316e-47fe-dbd2-9296123a9216","ITA","ISABELLA","2021-01-03 09:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247065440",NA,"IOWM","2013-03-25 02:43:51","2025-07-20 23:37:47",1.06,5,2,"13G0"
"2389",5750,"2021-03","e805685ad-d03d-bf5e-ec01-0e7c15b976af","ITA","FRECCIA","2021-02-24 03:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247068070",NA,"INKZ","2013-06-04 00:41:26","2025-07-20 23:56:22",1.91,3,2,"13G1"
"2390",5752,"2021-05","f635cedc2-25d7-4640-1891-f9df2f2f6df7","ITA","IMPERO ROMANO","2021-04-15 12:00:00","2021-12-29 09:00:00","TRAWLERS","FISHING","247094320",NA,"ISTZ","2018-10-09 07:19:45","2025-07-16 15:42:05",19.82,5,2,"12G1"
"2391",5764,"2021-04","a1cb5f6a7-786c-c2a9-17bb-bde83787f6d2","ITA","CRESCENZO 1","2021-01-04 03:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247128190",NA,NA,"2018-10-31 05:22:20","2025-07-19 07:42:53",5.62,4,2,"12G1"
"2392",5770,"2021-03","f9874dc05-558a-dd38-c0b6-d13ec69d1108","ITA","SABRINA E GIADA","2021-01-04","2021-12-30 15:00:00","TRAWLERS","FISHING","247147420",NA,"ILAK","2013-12-10 02:11:20","2025-07-20 23:54:18",40.93,3,2,"14G1"
"2393",5774,"2021-03","e4d4ca9ba-ac5f-33b2-a3f4-ff20dc9631c9","ITA","LIDA ASSUNTA","2021-01-04 03:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247094280",NA,"IPJA","2013-05-30 04:56:24","2025-07-19 10:23:52",0.82,3,2,"12G1"
"2394",5811,"2021-03","f9874dc05-558a-dd38-c0b6-d13ec69d1108","ITA","SABRINA E GIADA","2021-01-04","2021-12-30 15:00:00","TRAWLERS","FISHING","247147420",NA,"ILAK","2013-12-10 02:11:20","2025-07-20 23:54:18",28.26,3,2,"13G0"
"2395",5823,"2021-05","243942918-83f7-ad86-4a56-e4954dc2f210","ITA","S.VINCENZO","2021-01-04 05:00:00","2021-12-30 08:00:00","TRAWLERS","FISHING","247092920",NA,"IPBA","2013-04-21 22:38:02","2024-01-12 12:01:38",1.12,5,2,"11G2"
"2396",5824,"2021-04","5568a3ba3-30ea-01f4-1a45-07c8717d7fea","ITA","CERNIA","2021-02-23 04:00:00","2021-12-19 10:00:00","TRAWLERS","FISHING","247303790",NA,"ILLK","2013-04-15 06:32:03","2024-09-30 15:41:14",21.4,4,2,"13G0"
"2397",5848,"2021-05","13ce42c56-69e0-393d-fdf5-252c2a82ad75","ITA","M/P SS. TRINITA","2021-01-04 11:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247094260",NA,"ILVK","2019-08-28 15:13:49","2025-07-18 10:52:22",9.64,5,2,"13G1"
"2398",5849,"2021-04","10a08ce71-17e9-f2b1-204a-88df7da4cd6f","ITA","DESTRIERO I","2021-01-04 03:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247122360",NA,"IQPL","2014-04-07 01:50:15","2025-07-18 16:57:10",13.6,4,2,"12G1"
"2399",5850,"2021-04","6bac13758-80eb-fe27-6aa0-ba303dd40dcd","ITA","ARDITO","2021-01-04 05:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247044930",NA,NA,"2016-05-27 05:42:14","2025-07-18 14:36:46",2.04,4,2,"17F9"
"2400",5853,"2021-05","bae0ea02d-dae5-e443-2f40-54bd22f650d2","ITA","OSCAR","2021-01-04 03:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247094340",NA,"IQSV","2013-05-02 01:10:38","2025-07-20 07:09:56",7.22,5,2,"13G1"
"2401",5858,"2021-03","0474f132b-bef3-7a95-4871-5a4cca576cc3","ITA","ONDAMARINA","2021-01-04 01:00:00","2021-12-29 14:00:00","TRAWLERS","FISHING","247041470",NA,"INHW","2017-06-27 11:23:33","2025-07-20 23:37:46",10.75,3,2,"13G0"
"2402",5859,"2021-05","13ce42c56-69e0-393d-fdf5-252c2a82ad75","ITA","M/P SS. TRINITA","2021-01-04 11:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247094260",NA,"ILVK","2019-08-28 15:13:49","2025-07-18 10:52:22",8.31,5,2,"13G1"
"2403",5860,"2021-04","6bac13758-80eb-fe27-6aa0-ba303dd40dcd","ITA","ARDITO","2021-01-04 05:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247044930",NA,NA,"2016-05-27 05:42:14","2025-07-18 14:36:46",31.47,4,2,"17F9"
"2404",5866,"2021-03","188ebc849-995e-103f-de7a-98c956e59f3f","ITA","SAN.PIETRO I","2021-01-04 04:00:00","2021-10-29 12:00:00","TRAWLERS","FISHING","247149790",NA,"IFCR2","2018-11-19 10:42:26","2024-11-29 17:44:49",0.87,3,2,"12G2"
"2405",5872,"2021-05","5598e4059-9221-f0aa-3532-86d74c94d584","ITA","N.PESCE VOLANTE","2021-01-06 12:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247091090",NA,"INUG","2017-10-30 00:45:20","2025-07-20 23:59:16",0.8,5,2,"11G2"
"2406",5873,"2021-05","5568a3ba3-30ea-01f4-1a45-07c8717d7fea","ITA","CERNIA","2021-02-23 04:00:00","2021-12-19 10:00:00","TRAWLERS","FISHING","247303790",NA,"ILLK","2013-04-15 06:32:03","2024-09-30 15:41:14",83.46,5,2,"13G1"
"2407",5878,"2021-04","bdcd2d618-8e87-b9fc-959d-584c17ae45e5","ITA","JAMAICA","2021-01-04 04:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247092810",NA,"IPVT","2013-05-27 23:17:31","2025-07-20 21:01:46",9.41,4,2,"12G2"
"2408",5881,"2021-04","10a08ce71-17e9-f2b1-204a-88df7da4cd6f","ITA","DESTRIERO I","2021-01-04 03:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247122360",NA,"IQPL","2014-04-07 01:50:15","2025-07-18 16:57:10",1.09,4,2,"12G1"
"2409",5904,"2021-05","268292ae9-906d-53a3-efd6-1cf0bea578d1","ITA","F/V PATRIZIA","2021-01-05 07:00:00","2021-12-28 12:00:00","TRAWLERS","FISHING","247042850",NA,"INGP","2014-05-05 06:13:15","2025-07-18 17:31:43",104.09,5,2,"16F7"
"2410",5917,"2021-04","ff20b1344-4a7e-17fa-8157-251efb07d8a0","ITA","SAVERIO_P","2021-01-04 06:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247080330",NA,"IMCC","2014-11-19 00:16:04","2024-04-04 15:32:38",3.82,4,2,"11G2"
"2411",5922,"2021-04","10a08ce71-17e9-f2b1-204a-88df7da4cd6f","ITA","DESTRIERO I","2021-01-04 03:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247122360",NA,"IQPL","2014-04-07 01:50:15","2025-07-18 16:57:10",96.15,4,2,"13G1"
"2412",5928,"2021-05","13ce42c56-69e0-393d-fdf5-252c2a82ad75","ITA","M/P SS. TRINITA","2021-01-04 11:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247094260",NA,"ILVK","2019-08-28 15:13:49","2025-07-18 10:52:22",29.79,5,2,"12G1"
"2413",5945,"2021-05","5568a3ba3-30ea-01f4-1a45-07c8717d7fea","ITA","CERNIA","2021-02-23 04:00:00","2021-12-19 10:00:00","TRAWLERS","FISHING","247303790",NA,"ILLK","2013-04-15 06:32:03","2024-09-30 15:41:14",28.82,5,2,"14G0"
"2414",5952,"2021-04","a8e7a4833-3700-0508-9a2d-ec87ae97a3a2","ITA","MARIAMADRE","2021-01-04 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247092830",NA,"IOXL","2013-05-07 10:50:35","2025-07-20 23:59:26",4.19,4,2,"12G1"
"2415",5957,"2021-05","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",3.17,5,2,"13G0"
"2416",5977,"2021-03","3a2bc0d9f-f2c8-12ad-ddc4-785d1994907d","ITA","MARETTO","2021-01-08 11:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066290",NA,NA,"2013-06-16 23:21:56","2025-07-19 08:13:16",5.86,3,2,"13G1"
"2417",5988,"2021-04","121e6a2cc-cb94-cd47-27e9-6ded9fc6f6d3","ITA","POLARIS","2021-01-27 04:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247069530",NA,"IOEE","2020-12-14 00:50:07","2025-07-12 08:35:22",4.8,4,2,"14G0"
"2418",5992,"2021-05","9ca3d0b72-237f-6c3a-14c3-937b71847c2a","ITA","LA FENICE","2021-01-04 05:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247099820",NA,"IJYL","2017-03-29 04:10:26","2025-07-20 09:17:50",6.43,5,2,"13G1"
"2419",5998,"2021-05","9ca3d0b72-237f-6c3a-14c3-937b71847c2a","ITA","LA FENICE","2021-01-04 05:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247099820",NA,"IJYL","2017-03-29 04:10:26","2025-07-20 09:17:50",5.32,5,2,"13G1"
"2420",6002,"2021-04","121e6a2cc-cb94-cd47-27e9-6ded9fc6f6d3","ITA","POLARIS","2021-01-27 04:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247069530",NA,"IOEE","2020-12-14 00:50:07","2025-07-12 08:35:22",2.11,4,2,"14G0"
"2421",6025,"2021-05","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",9.48,5,2,"13G0"
"2422",6039,"2021-05","eb7ba4542-21a3-7c0d-607c-6d09d5218877","ITA","S. FERMINA","2021-01-04 03:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247094310",NA,"IIIL","2013-05-17 05:04:21","2025-07-16 14:29:29",3.21,5,2,"13G1"
"2423",6041,"2021-03","c00e8f8fa-a22a-f5cb-c833-b9366d851de5","ITA","FRIDA","2021-01-04 05:00:00","2021-12-23 11:00:00","TRAWLERS","FISHING","247065690",NA,"IUXA","2013-05-02 01:49:30","2025-07-20 23:59:35",0.17,3,2,"14G0"
"2424",6045,"2021-03","3a2bc0d9f-f2c8-12ad-ddc4-785d1994907d","ITA","MARETTO","2021-01-08 11:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066290",NA,NA,"2013-06-16 23:21:56","2025-07-19 08:13:16",1.56,3,2,"13G0"
"2425",6101,"2021-03","ec8d85e7d-d923-f0ca-7b0c-5075449c873c","ITA","JAZZ","2021-01-13 04:00:00","2021-12-30 18:00:00","TRAWLERS","FISHING","247200190",NA,"IFHQ2","2018-08-06 02:28:14","2023-09-29 21:00:11",3.5,3,2,"17F9"
"2426",6104,"2021-04","3c1198b91-1893-33bd-d11f-7306d36e2d7a","ITA","F/V GRAZIA ROSA II","2021-01-04 02:00:00","2021-12-30 16:00:00","TRAWLERS","FISHING","247048990",NA,"IWMC","2014-03-31 03:10:03","2025-07-19 14:53:03",135.64,4,2,"16F7"
"2427",6112,"2021-04","3c1198b91-1893-33bd-d11f-7306d36e2d7a","ITA","F/V GRAZIA ROSA II","2021-01-04 02:00:00","2021-12-30 16:00:00","TRAWLERS","FISHING","247048990",NA,"IWMC","2014-03-31 03:10:03","2025-07-19 14:53:03",1.26,4,2,"16F7"
"2428",6159,"2021-05","bf7a316cc-ca08-8259-d4af-7fce99807831","ITA","MORLE II","2021-01-03 06:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247081680",NA,"IZAV","2019-07-12 09:06:05","2025-07-20 23:59:18",0.37,5,2,"15G0"
"2429",6167,"2021-05","9ca3d0b72-237f-6c3a-14c3-937b71847c2a","ITA","LA FENICE","2021-01-04 05:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247099820",NA,"IJYL","2017-03-29 04:10:26","2025-07-20 09:17:50",8.26,5,2,"13G1"
"2430",6168,"2021-03","8c04ecd47-7037-fc2f-8195-d663a9d8e636","ITA","NUOVA MAREA","2021-03-02 23:00:00","2021-11-24 19:00:00","TRAWLERS","FISHING","247220130",NA,"IRBA","2013-02-26 13:19:31","2025-07-20 23:58:50",11.91,3,2,"15G0"
