"","X","Time.Range","Vessel.ID","Flag","Vessel.Name","Entry.Timestamp","Exit.Timestamp","Gear.Type","Vessel.Type","MMSI","IMO","CallSign","First.Transmission.Date","Last.Transmission.Date","Apparent.Fishing.Hours","month","quarter","id"
"22",288,"2021-02","4f229e638-8722-41e9-5368-efce12332124","ITA","IRENE","2021-01-04 07:00:00","2021-12-30 10:00:00","TRAWLERS","FISHING","247123990",NA,NA,"2020-06-22 01:26:25","2025-07-18 16:41:50",0.95,2,1,"17F9"
"23",310,"2021-01","da807a497-716f-a219-77b0-a13a671d0dea","ITA","LEONE MARCO","2021-01-08 03:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247099830",NA,"IPLN","2013-04-25 02:01:19","2025-07-18 16:04:53",4.5,1,1,"13G1"
"24",350,"2021-01","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II","2021-01-04 04:00:00","2021-03-17 08:00:00","TRAWLERS","FISHING","247091080",NA,"IFMX","2013-08-23 15:20:47","2021-04-17 11:54:57",12.91,1,1,"11G2"
"25",352,"2021-01","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II","2021-01-04 04:00:00","2021-03-17 08:00:00","TRAWLERS","FISHING","247091080",NA,"IFMX","2013-08-23 15:20:47","2021-04-17 11:54:57",0.55,1,1,"11G2"
"26",383,"2021-01","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.","2021-01-04 04:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247093030",NA,"IFUI","2013-05-19 10:19:32","2025-07-20 23:59:59",3,1,1,"12G2"
"27",387,"2021-02","da807a497-716f-a219-77b0-a13a671d0dea","ITA","LEONE MARCO","2021-01-08 03:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247099830",NA,"IPLN","2013-04-25 02:01:19","2025-07-18 16:04:53",29.43,2,1,"12G1"
"28",423,"2021-01","0474f132b-bef3-7a95-4871-5a4cca576cc3","ITA","ONDAMARINA","2021-01-04 01:00:00","2021-12-29 14:00:00","TRAWLERS","FISHING","247041470",NA,"INHW","2017-06-27 11:23:33","2025-07-20 23:37:46",10.45,1,1,"13G0"
"29",429,"2021-02","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA","2021-01-04 02:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066190",NA,NA,"2014-04-07 00:24:27","2025-07-18 14:14:53",8.29,2,1,"14G0"
"30",442,"2021-01","0474f132b-bef3-7a95-4871-5a4cca576cc3","ITA","ONDAMARINA","2021-01-04 01:00:00","2021-12-29 14:00:00","TRAWLERS","FISHING","247041470",NA,"INHW","2017-06-27 11:23:33","2025-07-20 23:37:46",18.07,1,1,"13G0"
"31",474,"2021-02","72c6c4de9-9f7c-92c8-9bd0-64f0777105bb","ITA","MP CLAUDIO PADRE","2021-01-04 06:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247123920",NA,"IPFT","2019-08-07 07:56:24","2025-07-20 23:59:27",2.72,2,1,"12G2"
"32",480,"2021-02","72c6c4de9-9f7c-92c8-9bd0-64f0777105bb","ITA","MP CLAUDIO PADRE","2021-01-04 06:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247123920",NA,"IPFT","2019-08-07 07:56:24","2025-07-20 23:59:27",6.03,2,1,"12G1"
"33",493,"2021-01","f58199c94-4e49-1a3b-3078-bfd3733b6ab2","ITA","ALBACHIARA","2021-01-04 01:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065740",NA,"IVHU","2014-05-05 22:42:01","2025-06-13 11:37:09",59.16,1,1,"14G0"
"34",506,"2021-01","f58199c94-4e49-1a3b-3078-bfd3733b6ab2","ITA","ALBACHIARA","2021-01-04 01:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065740",NA,"IVHU","2014-05-05 22:42:01","2025-06-13 11:37:09",25.02,1,1,"14G0"
"35",511,"2021-02","48618b95b-bf82-cb38-6fd1-a72d11c618ae","ITA","STELLA MADRE","2021-01-07 05:00:00","2021-09-02 12:00:00","TRAWLERS","FISHING","247096450",NA,"IJJL","2016-03-21 01:16:47","2021-09-09 06:25:08",82.29,2,1,"11G2"
"36",518,"2021-02","bdcd2d618-8e87-b9fc-959d-584c17ae45e5","ITA","JAMAICA","2021-01-04 04:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247092810",NA,"IPVT","2013-05-27 23:17:31","2025-07-20 21:01:46",10.16,2,1,"12G1"
"37",533,"2021-01","580c970e4-4213-4f9c-ae9f-f6ed1871dc6e","ITA","AGOSTINO IMPERATO","2021-01-04 03:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247092790",NA,"IZNI","2013-04-23 23:18:30","2025-07-20 23:56:11",6.46,1,1,"12G2"
"38",535,"2021-02","7485509a5-5caf-a8e8-9c6c-5fee55de0c70","ITA","SGIUSEPPE","2021-01-04 05:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247045180",NA,"IKDO","2014-05-29 04:02:34","2025-07-18 14:01:25",42.33,2,1,"17F9"
"39",560,"2021-02","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II","2021-01-04 04:00:00","2021-03-17 08:00:00","TRAWLERS","FISHING","247091080",NA,"IFMX","2013-08-23 15:20:47","2021-04-17 11:54:57",3.17,2,1,"11G2"
"40",561,"2021-02","7ac48f28b-bd17-d84a-d29c-cf66a0eea592","ITA","MP FRANCESCO PADRE","2021-01-04 04:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247099360",NA,"IKLA2","2013-04-21 22:18:21","2025-07-20 23:59:26",50.19,2,1,"12G2"
"41",578,"2021-02","4179aae2c-cb13-cef7-5084-1e2a15725ef7","ITA","ARCOBALENO","2021-01-04 05:00:00","2021-12-29 15:00:00","TRAWLERS","FISHING","247096440",NA,"IFXA","2013-02-14 02:10:19","2025-07-18 14:17:43",25.09,2,1,"11G2"
"42",623,"2021-01","e5fd8e9da-a2ca-6912-cb99-41a7fa8b1dbe","ITA","P.D`ERCOLE","2021-01-04 06:00:00","2021-12-30 17:00:00","TRAWLERS","FISHING","247204460",NA,"IFUE","2013-05-29 19:11:39","2025-07-18 13:48:23",0.81,1,1,"17F8"
"43",660,"2021-01","e4d4ca9ba-ac5f-33b2-a3f4-ff20dc9631c9","ITA","LIDA ASSUNTA","2021-01-04 03:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247094280",NA,"IPJA","2013-05-30 04:56:24","2025-07-19 10:23:52",33.14,1,1,"13G1"
"44",712,"2021-01","eb9daf877-749a-6f4a-1804-4d1dfcaaac94","ITA","STELLA ROSSA","2021-01-07 01:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247090850",NA,"IUCQ","2013-05-27 10:47:43","2024-01-24 07:55:38",4.48,1,1,"11G2"
"45",725,"2021-01","da807a497-716f-a219-77b0-a13a671d0dea","ITA","LEONE MARCO","2021-01-08 03:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247099830",NA,"IPLN","2013-04-25 02:01:19","2025-07-18 16:04:53",41.7,1,1,"13G1"
"46",738,"2021-02","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.","2021-01-04 04:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247093030",NA,"IFUI","2013-05-19 10:19:32","2025-07-20 23:59:59",6.88,2,1,"12G1"
"47",745,"2021-01","478b14262-2ad1-7a58-fa40-5e9984d6abae","ITA","MARIANNA","2021-01-04 04:00:00","2021-12-29 14:00:00","TRAWLERS","FISHING","247093010",NA,"IWPS","2013-03-20 00:12:19","2025-07-18 14:44:37",34.66,1,1,"12G2"
"48",758,"2021-02","ce8a831f4-4a0c-07ab-bd47-41342088ed6d","ITA","ANASTASIA","2021-01-04","2021-12-29 11:00:00","TRAWLERS","FISHING","247066860",NA,"IRAV","2013-05-22 16:53:29","2025-07-20 23:59:18",7.93,2,1,"15G0"
"49",760,"2021-01","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.","2021-01-04 04:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247093030",NA,"IFUI","2013-05-19 10:19:32","2025-07-20 23:59:59",2.2,1,1,"12G1"
"50",777,"2021-02","eb9daf877-749a-6f4a-1804-4d1dfcaaac94","ITA","STELLA ROSSA","2021-01-07 01:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247090850",NA,"IUCQ","2013-05-27 10:47:43","2024-01-24 07:55:38",55.02,2,1,"11G2"
"51",786,"2021-02","eb9daf877-749a-6f4a-1804-4d1dfcaaac94","ITA","STELLA ROSSA","2021-01-07 01:00:00","2021-12-30 13:00:00","TRAWLERS","FISHING","247090850",NA,"IUCQ","2013-05-27 10:47:43","2024-01-24 07:55:38",6.16,2,1,"11G2"
"52",837,"2021-01","243942918-83f7-ad86-4a56-e4954dc2f210","ITA","S.VINCENZO","2021-01-04 05:00:00","2021-12-30 08:00:00","TRAWLERS","FISHING","247092920",NA,"IPBA","2013-04-21 22:38:02","2024-01-12 12:01:38",12.98,1,1,"12G1"
"53",844,"2021-01","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.","2021-01-04 04:00:00","2021-12-29 13:00:00","TRAWLERS","FISHING","247093030",NA,"IFUI","2013-05-19 10:19:32","2025-07-20 23:59:59",7.92,1,1,"12G2"
"54",847,"2021-01","243942918-83f7-ad86-4a56-e4954dc2f210","ITA","S.VINCENZO","2021-01-04 05:00:00","2021-12-30 08:00:00","TRAWLERS","FISHING","247092920",NA,"IPBA","2013-04-21 22:38:02","2024-01-12 12:01:38",1.58,1,1,"12G2"
"55",849,"2021-01","2de3cda92-2405-3349-8ad5-0ef180e81e1a","ITA","LIBERA","2021-01-04 04:00:00","2021-12-29 15:00:00","TRAWLERS","FISHING","247096930",NA,"IRMM","2013-02-18 02:16:45","2025-07-20 23:55:21",2.06,1,1,"12G1"
"56",851,"2021-01","6e02474b2-2fba-078a-8132-10e3ad77914f","ITA","MP LEDO","2021-01-07 11:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247222320",NA,NA,"2012-05-17 19:22:30","2025-07-18 18:56:50",2.12,1,1,"13G1"
"57",853,"2021-02","cd9d39ddf-fddd-1166-7dbc-501cf38f5991","ITA","MARIA","2021-01-04 05:00:00","2021-12-28 11:00:00","TRAWLERS","FISHING","247093060",NA,"IRRH","2013-05-31 11:14:37","2025-07-15 10:24:08",0.83,2,1,"12G2"
"58",877,"2021-02","fd7b02175-538c-125e-7d04-399cdce31466","ITA","MARE BLU","2021-01-04 02:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065080",NA,NA,"2013-06-24 00:40:18","2024-08-16 10:02:30",24.39,2,1,"14G0"
"59",900,"2021-02","b2a081b87-7dc2-5afe-e7ac-6f5cd261d9da","ITA","MONELLO","2021-01-05 07:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247044970",NA,"IWJJ","2014-07-30 06:52:49","2025-07-18 12:23:35",0.48,2,1,"17F9"
"60",904,"2021-02","b2a081b87-7dc2-5afe-e7ac-6f5cd261d9da","ITA","MONELLO","2021-01-05 07:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247044970",NA,"IWJJ","2014-07-30 06:52:49","2025-07-18 12:23:35",8.01,2,1,"17F9"
"61",916,"2021-01","898bfd541-1611-3e35-93d7-e1bfbe13d026","ITA","MP NUOVA LUCIA","2021-01-04 04:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247892860",NA,"IIJN","2019-12-13 15:03:32","2025-07-18 13:23:11",19.92,1,1,"12G2"
"62",932,"2021-02","7485509a5-5caf-a8e8-9c6c-5fee55de0c70","ITA","SGIUSEPPE","2021-01-04 05:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247045180",NA,"IKDO","2014-05-29 04:02:34","2025-07-18 14:01:25",14.9,2,1,"17F9"
"63",963,"2021-01","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA","2021-01-04 02:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066190",NA,NA,"2014-04-07 00:24:27","2025-07-18 14:14:53",3.41,1,1,"14G0"
"64",978,"2021-01","f58199c94-4e49-1a3b-3078-bfd3733b6ab2","ITA","ALBACHIARA","2021-01-04 01:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065740",NA,"IVHU","2014-05-05 22:42:01","2025-06-13 11:37:09",43.74,1,1,"14G0"
"65",1002,"2021-02","72c6c4de9-9f7c-92c8-9bd0-64f0777105bb","ITA","MP CLAUDIO PADRE","2021-01-04 06:00:00","2021-12-30 12:00:00","TRAWLERS","FISHING","247123920",NA,"IPFT","2019-08-07 07:56:24","2025-07-20 23:59:27",12.43,2,1,"12G2"
"66",1003,"2021-01","fd7b02175-538c-125e-7d04-399cdce31466","ITA","MARE BLU","2021-01-04 02:00:00","2021-12-30 15:00:00","TRAWLERS","FISHING","247065080",NA,NA,"2013-06-24 00:40:18","2024-08-16 10:02:30",0.82,1,1,"14G0"
"67",1030,"2021-02","48618b95b-bf82-cb38-6fd1-a72d11c618ae","ITA","STELLA MADRE","2021-01-07 05:00:00","2021-09-02 12:00:00","TRAWLERS","FISHING","247096450",NA,"IJJL","2016-03-21 01:16:47","2021-09-09 06:25:08",37.63,2,1,"11G2"
"68",1056,"2021-02","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA","2021-01-04 02:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066190",NA,NA,"2014-04-07 00:24:27","2025-07-18 14:14:53",1.51,2,1,"14G0"
"69",1062,"2021-02","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA","2021-01-04 02:00:00","2021-12-30 14:00:00","TRAWLERS","FISHING","247066190",NA,NA,"2014-04-07 00:24:27","2025-07-18 14:14:53",11.96,2,1,"14G0"
"70",1081,"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",14.5,1,1,"14F9"
"71",1081,"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",14.5,1,1,"14G0"
"72",1081,"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",14.5,1,1,"15F9"
"73",1081,"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II","2021-01-04","2021-12-30 10:00:00","TRAWLERS","FISHING","247065720",NA,"IQON","2013-06-05 20:08:53","2025-07-20 23:59:47",14.5,1,1,"15G0"
"74",1094,"2021-01","4179aae2c-cb13-cef7-5084-1e2a15725ef7","ITA","ARCOBALENO","2021-01-04 05:00:00","2021-12-29 15:00:00","TRAWLERS","FISHING","247096440",NA,"IFXA","2013-02-14 02:10:19","2025-07-18 14:17:43",2.56,1,1,"11G2"
"75",1115,"2021-01","cd9d39ddf-fddd-1166-7dbc-501cf38f5991","ITA","MARIA","2021-01-04 05:00:00","2021-12-28 11:00:00","TRAWLERS","FISHING","247093060",NA,"IRRH","2013-05-31 11:14:37","2025-07-15 10:24:08",2,1,1,"12G2"
