"year","vessel_length","gear_type","supra_region","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","cscode","totfishdays","Fuel_cost","m","q","loa","loaFC","yFC","EC","GVA","Gross_profit"
2020,"VL1824","OTB","MBS",3031.21564598155,38.6142959320629,349.924919468246,273.915783977293,206.573523714604,1128.03007230911,130.012702674833,"1300:370:3",1.5,0.335314196709714,1.47,12.811,21,43.681,65.5215,21.9702891397155,2217.44542561375,959.402650629804
2020,"VL2440","OTB","MBS",1046.99262019547,29.9579312627112,99.6864477448121,81.0788141226783,70.9300251831279,422.637564225617,11.7391408463253,"1300:370:3",0.5,0.335314196709714,1.47,12.811,32,59.851,29.9255,10.0344449936365,815.220819413927,380.844114341985
2020,"VL1824","OTB","MBS",1010.40521532718,12.8714319773543,116.641639822749,91.3052613257643,68.8578412382013,376.010024103038,43.3375675582778,"1300:370:3",0.5,0.335314196709714,1.47,12.811,21,43.681,21.8405,7.3234297132385,739.148475204584,319.800883543268
2020,"VL2440","OTB","MBS",1046.99262019547,29.9579312627112,99.6864477448121,81.0788141226783,70.9300251831279,422.637564225617,11.7391408463253,"1300:370:3",0.5,0.335314196709714,1.47,12.811,32,59.851,29.9255,10.0344449936365,815.220819413927,380.844114341985
2020,"VL2440","OTB","MBS",8375.94096156376,239.66345010169,797.491581958497,648.630512981426,567.440201465023,3381.10051380493,93.9131267706022,"1300:370:3",4,0.335314196709714,1.47,12.811,32,59.851,239.404,80.2755599490923,6521.76655531142,3046.75291473588
2020,"VL2440","OTB","MBS",11516.9188221502,329.537243889824,1096.55092519293,891.866955349461,780.230277014407,4649.01320648178,129.130549309578,"1300:370:3",5.5,0.335314196709714,1.47,12.811,32,59.851,329.1805,110.378894930002,8967.42901355319,4189.28525776183
2020,"VL1824","OTB","MBS",6062.43129196309,77.2285918641257,699.849838936492,547.831567954586,413.147047429208,2256.06014461823,260.025405349667,"1300:370:3",3,0.335314196709714,1.47,12.811,21,43.681,131.043,43.940578279431,4434.8908512275,1918.80530125961
2020,"VL2440","OTB","MBS",4470.65848823466,127.920366491777,425.661131870348,346.206536303836,302.871207531956,1804.66239924338,50.1261314138089,"1300:370:3",2.135,0.335314196709714,1.47,12.811,32,59.851,127.781885,42.847080122828,3480.99289889747,1626.20436824027
2020,"VL2440","OTB","MBS",32174.0832186068,920.607227703116,3063.36453919808,2491.5519579899,2179.67967387752,12987.6523486532,360.743798207576,"1300:370:3",15.365,0.335314196709714,1.47,12.811,32,59.851,919.610615,308.358494654451,25051.73578059,11703.3396337292
2020,"VL1824","OTB","MBS",5052.02607663591,64.3571598867715,583.208199113743,456.526306628822,344.289206191007,1880.05012051519,216.687837791389,"1300:370:3",2.5,0.335314196709714,1.47,12.811,21,43.681,109.2025,36.6171485661925,3695.74237602292,1599.00441771634
2020,"VL2440","OTB","MBS",10469.9262019547,299.579312627112,996.864477448121,810.788141226783,709.300251831279,4226.37564225617,117.391408463253,"1300:370:3",5,0.335314196709714,1.47,12.811,32,59.851,299.255,100.344449936365,8152.20819413927,3808.44114341985
2021,"VL1824","OTB","MBS",6202.90822310017,36.1208293981913,520.925647706913,699.16489977874,352.972145003715,2187.63899675252,350.844274650048,"1300:370:3",3,0.49821880876196,1.47,12.811,21,43.681,131.043,65.2880873565936,4600.6782726524,2062.19500124983
2021,"VL2440","OTB","MBS",1417.01542588624,20.4080250828076,136.39800251362,117.737016606824,85.0809200058459,624.146465813478,43.408132654514,"1300:370:3",0.5,0.49821880876196,1.47,12.811,32,59.851,29.9255,14.909446961606,1083.29806488115,415.743466413159
2021,"VL1824","OTB","MBS",10338.1803718336,60.2013823303188,868.209412844855,1165.27483296457,588.286908339526,3646.06499458753,584.740457750079,"1300:370:3",5,0.49821880876196,1.47,12.811,21,43.681,218.405,108.813478927656,7667.79712108733,3436.99166874972
2021,"VL1824","OTB","MBS",2067.63607436672,12.0402764660638,173.641882568971,233.054966592913,117.657381667905,729.212998917507,116.948091550016,"1300:370:3",1,0.49821880876196,1.47,12.811,21,43.681,43.681,21.7626957855312,1533.55942421747,687.398333749943
2021,"VL1824","OTB","MBS",4135.27214873344,24.0805529321275,347.283765137942,466.109933185827,235.31476333581,1458.42599783501,233.896183100032,"1300:370:3",2,0.49821880876196,1.47,12.811,21,43.681,87.362,43.5253915710624,3067.11884843493,1374.79666749989
2021,"VL1824","OTB","MBS",2067.63607436672,12.0402764660638,173.641882568971,233.054966592913,117.657381667905,729.212998917507,116.948091550016,"1300:370:3",1,0.49821880876196,1.47,12.811,21,43.681,43.681,21.7626957855312,1533.55942421747,687.398333749943
2021,"VL2440","OTB","MBS",2834.03085177248,40.8160501656152,272.796005027239,235.474033213647,170.161840011692,1248.29293162696,86.816265309028,"1300:370:3",1,0.49821880876196,1.47,12.811,32,59.851,59.851,29.8188939232121,2166.5961297623,831.486932826318
2021,"VL2440","OTB","MBS",2834.03085177248,40.8160501656152,272.796005027239,235.474033213647,170.161840011692,1248.29293162696,86.816265309028,"1300:370:3",1,0.49821880876196,1.47,12.811,32,59.851,59.851,29.8188939232121,2166.5961297623,831.486932826318
2021,"VL2440","OTB","MBS",14170.1542588624,204.080250828076,1363.9800251362,1177.37016606824,850.809200058459,6241.46465813478,434.08132654514,"1300:370:3",5,0.49821880876196,1.47,12.811,32,59.851,299.255,149.09446961606,10832.9806488115,4157.43466413159
2021,"VL2440","OTB","MBS",2834.03085177248,40.8160501656152,272.796005027239,235.474033213647,170.161840011692,1248.29293162696,86.816265309028,"1300:370:3",1,0.49821880876196,1.47,12.811,32,59.851,59.851,29.8188939232121,2166.5961297623,831.486932826318
2021,"VL2440","OTB","MBS",8502.09255531743,122.448150496846,818.388015081718,706.422099640942,510.485520035075,3744.87879488087,260.448795927084,"1300:370:3",3,0.49821880876196,1.47,12.811,32,59.851,179.553,89.4566817696363,6499.7883892869,2494.46079847896
2021,"VL2440","OTB","MBS",2834.03085177248,40.8160501656152,272.796005027239,235.474033213647,170.161840011692,1248.29293162696,86.816265309028,"1300:370:4",1,0.49821880876196,1.47,12.811,32,59.851,59.851,29.8188939232121,2166.5961297623,831.486932826318
2020,"VL1218","OTB","MBS",843.073016540881,0.734987279670105,63.3854699850583,87.9552144448406,35.9138250974906,312.903004145487,67.5913284867213,"1300:380:1",0.5,0.335314196709714,1.47,12.811,15,34.861,17.4305,5.84469410574867,650.708800187413,270.214467555205
2020,"VL1824","OTB","MBS",43382.7583252879,552.647803379684,5008.12544742954,3920.28270028302,2956.48027140341,16144.366394888,1860.74180068221,"1300:380:1",21.468,0.335314196709714,1.47,12.811,21,43.681,937.743708,314.438778167608,31736.078931384,13730.9707358138
2020,"VL1824","OTB","MBS",213993.720554144,2726.04057848386,24703.5328980599,19337.5412961836,14583.4021958387,79635.1630047824,9178.46343316765,"1300:380:1",105.895,0.335314196709714,1.47,12.811,21,43.681,4625.599495,1551.02917896678,156544.255563579,67730.6291256287
2020,"VL1824","OTB","MBS",1436.79621619525,18.3031762717978,165.864411827949,129.836081605237,97.9158502407222,534.68625427452,61.626021067871,"1300:380:1",0.711,0.335314196709714,1.47,12.811,21,43.681,31.057191,10.4139170522251,1051.06913174092,454.756856398527
2020,"VL1824","OTB","MBS",11698.4715830581,149.025439433808,1350.47690586778,1057.1323156297,797.236085855895,4353.44405906497,501.76235718974,"1300:380:1",5.789,0.335314196709714,1.47,12.811,21,43.681,252.869309,84.7906692198754,8557.86104591867,3702.65462966396
2020,"VL1824","OTB","MBS",119.227815408607,1.51882897332781,13.7637134990843,10.7740208364402,8.12522526610775,44.3691828441585,5.11383297187678,"1300:380:1",0.059,0.335314196709714,1.47,12.811,21,43.681,2.577179,0.864164706162143,87.2195200741409,37.7365042581056
2020,"VL1824","OTB","MBS",1901.58261524576,24.2240349813808,219.519566146413,171.836501815088,129.590457210295,707.650865361917,81.5613021446787,"1300:380:1",0.941,0.335314196709714,1.47,12.811,21,43.681,41.103821,13.7826947203149,1391.07743033503,601.865262828431
2020,"VL1824","OTB","MBS",167.727265744312,2.13665770824081,19.3625122105763,15.1566733800769,11.4304016455414,62.4176640011043,7.19403621467411,"1300:380:1",0.083,0.335314196709714,1.47,12.811,21,43.681,3.625523,1.21568933239759,122.698646883961,53.0869466681825
2020,"VL1824","OTB","MBS",109.123763255336,1.39011465355426,12.5972971008569,9.86096822318255,7.43664685372574,40.6090826031281,4.680457296294,"1300:380:1",0.054,0.335314196709714,1.47,12.811,21,43.681,2.358774,0.790930409029758,79.828035322095,34.5384954226729
2020,"VL2440","OTB","MBS",16127.874321491,461.471973170804,1535.57004106109,1248.93805274574,1092.6061079209,6510.3090393314,180.829725596795,"1300:380:1",7.702,0.335314196709714,1.47,12.811,32,59.851,460.972402,154.570590681977,12557.6615022521,5866.52273732393
2020,"VL2440","OTB","MBS",149296.959669393,4271.88116633757,14214.8887026192,11561.5145786374,10114.3378710133,60266.4261083161,1673.9545281226,"1300:380:1",71.298,0.335314196709714,1.47,12.811,32,59.851,4267.256598,1430.8717183126,116247.227965148,54306.8473287096
2020,"VL2440","OTB","MBS",11866.6143572955,339.543192931569,1129.8461987397,918.947279266436,803.920905425571,4790.17415293314,133.051422352251,"1300:380:1",5.667,0.335314196709714,1.47,12.811,32,59.851,339.175617,113.730399557877,9239.71276723744,4316.48719195205
2020,"VL2440","OTB","MBS",19543.1642485686,559.194744949768,1860.74723360466,1513.41714441391,1323.97985006826,7888.95277383536,219.122803037508,"1300:380:1",9.333,0.335314196709714,1.47,12.811,32,59.851,558.589383,187.30295025122,15216.9118151804,7108.83623830748
2020,"VL2440","OTB","MBS",3744.045609819,107.129562195455,356.478737135448,289.937839302698,253.645770054865,1511.35192967081,41.9791676664592,"1300:380:1",1.788,0.335314196709714,1.47,12.811,32,59.851,107.013588,35.8831752972443,2915.2296502242,1361.89855288694
2020,"VL2440","OTB","MBS",14054.828933504,402.155269270636,1338.19087452636,1088.40200078283,952.164658058308,5673.48666216468,157.586226721071,"1300:380:1",6.712,0.335314196709714,1.47,12.811,32,59.851,401.719912,134.702389594577,10943.5242798126,5112.4513909268
2020,"VL1218","OTB","MBS",1686.14603308176,1.46997455934021,126.770939970117,175.910428889681,71.8276501949813,625.806008290973,135.182656973443,"1300:380:1",1,0.335314196709714,1.47,12.811,15,34.861,34.861,11.6893882114973,1301.41760037483,540.42893511041
2020,"VL1824","OTB","MBS",81570.0130333634,1039.11070353181,9416.4795828905,7371.07374682895,5558.89352315999,30355.2892458383,3498.64182897976,"1300:380:1",40.365,0.335314196709714,1.47,12.811,21,43.681,1763.183565,591.220480749744,59671.456403266,25817.525328448
